latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.27135,74.89037,330.59,0.53,0.42,2025-11-01,748,N,VIIRS,l,2.0NRT,301.31,6.76,D
31.27684,73.74464,339.95,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.84,2.06,D
31.27707,74.3392,348.46,0.57,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,305.73,22.55,D
31.27978,73.80161,334.38,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,300.52,5.81,D
31.28062,73.80579,335,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,300.86,5.81,D
31.29988,74.7454,332.82,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.68,2.51,D
31.30617,75.13383,332.61,0.52,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,300.72,2.99,D
31.31362,74.91747,338.6,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,303.33,7.58,D
31.31934,73.83538,333.87,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.01,1.72,D
31.31946,75.01647,332.44,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,300.12,3.83,D
31.3196,73.85728,330.46,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.87,12.68,D
31.32045,73.86142,333.47,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,303.07,52.67,D
31.3205,75.02193,332.26,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,300.45,5.31,D
31.3216,75.01911,338.59,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.51,8.57,D
31.32262,73.7059,335.59,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.77,4.08,D
